SPR_f_SENTIMENT,'-3036732159289853780,1041126
SPR_f_SENTIMENT,'-3036732047285660467,1041126
SPR_f_SENTIMENT,'-3036732102877104408,1041126
SPR_f_SENECA,'-3037091817045517560,1041101
SPR_f_SCARLET,'-3037091888666055043,1041068
SPR_f_SCARLET,'-3037091855853180948,1041068
SPR_f_SAVORY,'-3037052729272712257,1041032
SPR_f_SAPPHIRE,'-3037051750096141373,1040989
SPR_f_SALVIA,'-3033987554349750642,1040971
SPR_f_SALVIA,'-3033987298082303978,1040971
SPR_f_SALLY,'-3033987340717033082,1040940
SPR_f_SALLY,'-3033987300287232314,1040940
SPR_f_SALLY,'-3033987417343195718,1040940
SPR_f_SABRA,'-3033987397599140559,1040915
SPR_f_SABRA,'-3033987643993732897,1040915
SPR_f_SABRA,'-3033987570838947132,1040915
SPR_f_SABRA,'-3033987538769336747,1040915
SPR_f_SABRA,'-3033987325697469042,1040915
SPR_f_SABRA,'-3033987466398857741,1040915
SPR_f_ROXY,'-3037091695777118237,1040873
SPR_f_ROXY,'-3037091661750284053,1040873
SPR_f_ROXY,'-3037092010995927155,1040873
SPR_f_RHYTHM,'-3034041226088229358,1040808
SPR_f_RHYTHM,'-3034041135892844776,1040808
SPR_f_RAVEN,'-3033987606170290391,1040786
SPR_f_RADIANCE,'-3037091983150641189,1040755
SPR_f_RADIANCE,'-3037091941690379449,1040755
SPR_f_PLEASURE,'-3036701894803487369,1040612
SPR_f_PLEASURE,'-3037051809595695131,1040612
SPR_f_PIZARRO,'-3036701641349503193,1040595
SPR_f_PIZARRO,'-3036701581281865509,1040595
SPR_f_PEPPERMINT,'-3037051487371619062,1040531
SPR_f_PEPPERMINT,'-3037051614928371710,1040531
SPR_f_PEPPERMINT,'-3037051550756982321,1040531
SPR_f_PAT,'-3036701712998653185,1040506
SPR_f_PAT,'-3036701792890192676,1040506
SPR_f_PARMA,'-3037091958708200839,1040470
SPR_f_PARIS,'-3034041056321445736,1040445
SPR_f_PARIS,'-3034041066925796371,1040445
SPR_f_PAPRIKA,'-3037091997333465309,1040400
SPR_f_PALAZZO,'-3034002858146755596,1040367
SPR_f_PALAZZO,'-3034002716170162034,1040367
SPR_f_PADOVA,'-3037092040300893684,1040350
SPR_f_OTTAWA,'-3036801065839944385,1040325
SPR_f_OTTAWA,'-3036801222827734450,1040325
SPR_f_ORELLA,'-3036701874600536241,1040310
SPR_f_ORELLA,'-3036701747940733336,1040310
SPR_f_ORELLA,'-3036701988264032910,1040310
SPR_f_ORELLA,'-3036701701443813423,1040310
SPR_f_ORELLA,'-3036701756385654495,1040310
SPR_f_OPTIMA,'-3036701947121588780,1040269
SPR_f_OPTIMA,'-3036702009021775030,1040269
